from	to	type
00400098	0046030e	DATA
0040009c	00410000	DATA
004000a0	00470000	DATA
004000a4	00400000	DATA
004000f0	00ad0000	DATA
004000f8	00ae0000	DATA
00400110	00b50000	DATA
00400138	00400258	DATA
00400174	00410000	DATA
0040019c	00470000	DATA
004001c4	00480000	DATA
004001ec	00ad0000	DATA
00400214	00ae0000	DATA
0040023c	00b50000	DATA
0041008a	0063667c	WRITE
00410090	00636690	WRITE
00410096	00636684	WRITE
0041009c	00636674	WRITE
004100a2	00452d3c	UNCONDITIONAL_CALL
004100a7	00420a10	UNCONDITIONAL_CALL
004100ac	00410a48	UNCONDITIONAL_CALL
004100b1	00470004	DATA
004100b6	00479d74	DATA
004100bb	0045e54d	UNCONDITIONAL_CALL
004100c2	004100c9	CONDITIONAL_JUMP
004100c4	00420578	UNCONDITIONAL_CALL
004100c9	00479e39	DATA
004100da	0047000c	DATA
004100df	006365cc	WRITE
004100e5	006365fc	WRITE
004100eb	006365d4	WRITE
004100f1	006365f8	WRITE
004100f7	006365e0	WRITE
004100fd	006365d0	WRITE
00410103	006365e4	WRITE
00410109	006365dc	WRITE
0041010f	006365e8	WRITE
00410115	006365f0	WRITE
0041011b	006365ec	WRITE
00410121	006365f4	WRITE
00410127	006365c8	WRITE
00410135	0047000c	READ
00410136	00470010	READ
00410137	00470014	READ
00410138	0045e594	UNCONDITIONAL_CALL
00410145	00410170	CONDITIONAL_JUMP
00410153	0045e76f	UNCONDITIONAL_CALL
0041015b	00410167	CONDITIONAL_JUMP
0041015d	00470018	DATA
00410162	00414e68	UNCONDITIONAL_CALL
00410169	0045e8e6	UNCONDITIONAL_CALL
0041016e	0041017a	UNCONDITIONAL_JUMP
00410170	00470034	DATA
00410175	00414e68	UNCONDITIONAL_CALL
0041017f	0047006c	DATA
0041018b	0045e90e	UNCONDITIONAL_CALL
00410192	0041019e	CONDITIONAL_JUMP
00410194	00470018	DATA
00410199	00414e68	UNCONDITIONAL_CALL
004101a7	0047a4dc	WRITE
004101b5	00479e18	WRITE
004101c3	00479de0	WRITE
004101c9	00479dac	WRITE
004101d7	0047007c	DATA
004101dc	00479df0	WRITE
004101e1	0043fea4	UNCONDITIONAL_CALL
004101e6	00470080	DATA
004101eb	0045eb05	UNCONDITIONAL_CALL
004101f4	00410281	CONDITIONAL_JUMP
00410201	00479e24	DATA
00410206	0045ebf1	UNCONDITIONAL_CALL
0041020d	00479e24	READ
0041020d	00479e25	READ
0041021b	00476e8c	DATA
00410222	00410246	CONDITIONAL_JUMP
00410224	00479e24	READ
00410224	00479e25	READ
0041022d	00410246	CONDITIONAL_JUMP
00410232	00410246	CONDITIONAL_JUMP
00410237	00410246	CONDITIONAL_JUMP
0041023c	00410246	CONDITIONAL_JUMP
00410240	00479e24	WRITE
00410240	00479e25	WRITE
0041024a	0041020d	CONDITIONAL_JUMP
0041024c	00470088	DATA
00410251	00479e24	DATA
00410256	00479e24	DATA
0041025c	00479e24	READ
0041025c	00479e25	READ
0041025f	00470088	READ
0041025f	0047008a	READ
00410261	00479e24	WRITE
00410261	00479e26	WRITE
00410261	00479e25	WRITE
00410265	00410277	CONDITIONAL_JUMP
00410267	00470089	READ
00410267	0047008b	READ
0041026d	00479e25	WRITE
0041026d	00479e27	WRITE
0041026d	00479e26	WRITE
00410275	0041025f	CONDITIONAL_JUMP
0041027a	0045ec6c	UNCONDITIONAL_CALL
0041027f	0041028b	UNCONDITIONAL_JUMP
00410281	0047008c	DATA
00410286	00414e68	UNCONDITIONAL_CALL
0041028b	00413da4	UNCONDITIONAL_CALL
00410298	004102a4	CONDITIONAL_JUMP
0041029a	00636674	WRITE
004102a4	00636684	READ
004102ac	00410545	CONDITIONAL_JUMP
004102b4	006401d4	READ
004102bb	006401ec	READ
004102d0	0041760c	UNCONDITIONAL_CALL
004102dc	0041af88	UNCONDITIONAL_CALL
004102e3	006401d4	READ
004102e9	006401ec	READ
004102f4	006366dc	WRITE
004102fb	0041ab4c	UNCONDITIONAL_CALL
00410305	0041af88	UNCONDITIONAL_CALL
0041030a	00479e00	READ
00410311	0041031d	CONDITIONAL_JUMP
00410313	004700a0	DATA
00410318	0041e85c	UNCONDITIONAL_CALL
0041031d	0043fea4	UNCONDITIONAL_CALL
00410322	0041643c	UNCONDITIONAL_CALL
00410327	00479e18	READ
0041032e	004103f9	CONDITIONAL_JUMP
00410334	00479dbc	READ
00410340	00479de0	READ
0041034c	00479dd4	READ
00410358	00479dd4	READ
0041036c	00479dd8	READ
00410378	00479ddc	READ
00410384	00479e00	READ
00410395	00479df0	READ
004103b7	0045e594	UNCONDITIONAL_CALL
004103c4	004103ef	CONDITIONAL_JUMP
004103d2	0045edd6	UNCONDITIONAL_CALL
004103da	004103e6	CONDITIONAL_JUMP
004103dc	004700ac	DATA
004103e1	0043cac0	UNCONDITIONAL_CALL
004103e8	0045e8e6	UNCONDITIONAL_CALL
004103ed	004103f9	UNCONDITIONAL_JUMP
004103ef	004700d0	DATA
004103f4	0043cac0	UNCONDITIONAL_CALL
004103f9	00479e18	READ
00410402	00410521	CONDITIONAL_JUMP
0041040a	0041049f	CONDITIONAL_JUMP
00410410	00479e00	READ
00410419	00410462	CONDITIONAL_JUMP
00410420	004700f4	DATA
0041042a	0045f0a1	UNCONDITIONAL_CALL
00410432	00470124	DATA
0041043f	0045f0a1	UNCONDITIONAL_CALL
00410450	0043ca84	UNCONDITIONAL_CALL
00410457	00410521	CONDITIONAL_JUMP
0041045d	0041051c	UNCONDITIONAL_JUMP
00410465	00410483	CONDITIONAL_JUMP
00410467	00470140	DATA
0041046c	00470158	DATA
00410471	0043ca84	UNCONDITIONAL_CALL
00410478	00410521	CONDITIONAL_JUMP
0041047e	0041051c	UNCONDITIONAL_JUMP
00410483	00470180	DATA
00410488	00470194	DATA
0041048d	0043ca84	UNCONDITIONAL_CALL
00410494	00410521	CONDITIONAL_JUMP
