address	type	name
EXTERNAL:00000001	Function	GDI32.DLL::GetStockObject
EXTERNAL:00000002	Function	GDI32.DLL::GetTextExtentPoint32A
EXTERNAL:00000003	Function	KERNEL32.DLL::GetModuleHandleA
EXTERNAL:00000004	Function	KERNEL32.DLL::GetProcAddress
EXTERNAL:00000005	Function	KERNEL32.DLL::GetSystemDirectoryA
EXTERNAL:00000006	Function	KERNEL32.DLL::GetVersion
EXTERNAL:00000007	Function	KERNEL32.DLL::GetWindowsDirectoryA
EXTERNAL:00000008	Function	KERNEL32.DLL::GlobalAlloc
EXTERNAL:00000009	Function	KERNEL32.DLL::GlobalFree
EXTERNAL:0000000a	Function	KERNEL32.DLL::GlobalHandle
EXTERNAL:0000000b	Function	KERNEL32.DLL::GlobalLock
EXTERNAL:0000000c	Function	KERNEL32.DLL::GlobalUnlock
EXTERNAL:0000000d	Function	KERNEL32.DLL::LocalAlloc
EXTERNAL:0000000e	Function	KERNEL32.DLL::LocalFree
EXTERNAL:0000000f	Function	KERNEL32.DLL::VirtualProtect
EXTERNAL:00000010	Function	KERNEL32.DLL::WriteProfileStringA
EXTERNAL:00000011	Function	KERNEL32.DLL::lstrcatA
EXTERNAL:00000012	Function	KERNEL32.DLL::lstrcpyA
EXTERNAL:00000013	Function	USER32.DLL::BeginPaint
EXTERNAL:00000014	Function	USER32.DLL::CheckMenuItem
EXTERNAL:00000015	Function	USER32.DLL::CreateWindowExA
EXTERNAL:00000016	Function	USER32.DLL::DefWindowProcA
EXTERNAL:00000017	Function	USER32.DLL::DestroyWindow
EXTERNAL:00000018	Function	USER32.DLL::DialogBoxParamA
EXTERNAL:00000019	Function	USER32.DLL::DispatchMessageA
EXTERNAL:0000001a	Function	USER32.DLL::EndDialog
EXTERNAL:0000001b	Function	USER32.DLL::EndPaint
EXTERNAL:0000001c	Function	USER32.DLL::GetCursorPos
EXTERNAL:0000001d	Function	USER32.DLL::GetDC
EXTERNAL:0000001e	Function	USER32.DLL::GetDlgItem
EXTERNAL:0000001f	Function	USER32.DLL::GetMenu
EXTERNAL:00000020	Function	USER32.DLL::GetMessageA
EXTERNAL:00000021	Function	USER32.DLL::GetSystemMetrics
EXTERNAL:00000022	Function	USER32.DLL::KillTimer
EXTERNAL:00000023	Function	USER32.DLL::LoadCursorA
EXTERNAL:00000024	Function	USER32.DLL::LoadIconA
EXTERNAL:00000025	Function	USER32.DLL::MapVirtualKeyA
EXTERNAL:00000026	Function	USER32.DLL::MessageBoxA
EXTERNAL:00000027	Function	USER32.DLL::PeekMessageA
EXTERNAL:00000028	Function	USER32.DLL::PostMessageA
EXTERNAL:00000029	Function	USER32.DLL::PostQuitMessage
EXTERNAL:0000002a	Function	USER32.DLL::RegisterClassA
EXTERNAL:0000002b	Function	USER32.DLL::ReleaseDC
EXTERNAL:0000002c	Function	USER32.DLL::SendMessageA
EXTERNAL:0000002d	Function	USER32.DLL::SetCursor
EXTERNAL:0000002e	Function	USER32.DLL::SetFocus
EXTERNAL:0000002f	Function	USER32.DLL::SetTimer
EXTERNAL:00000030	Function	USER32.DLL::SetWindowTextA
EXTERNAL:00000031	Function	USER32.DLL::ShowCursor
EXTERNAL:00000032	Function	USER32.DLL::ShowWindow
EXTERNAL:00000033	Function	USER32.DLL::TranslateMessage
EXTERNAL:00000034	Function	USER32.DLL::UnregisterClassA
EXTERNAL:00000035	Function	USER32.DLL::UpdateWindow
EXTERNAL:00000036	Function	USER32.DLL::WaitMessage
EXTERNAL:00000037	Function	USER32.DLL::GetActiveWindow
EXTERNAL:00000038	Function	USER32.DLL::wsprintfA
EXTERNAL:00000039	Function	KERNEL32.DLL::CloseHandle
EXTERNAL:0000003a	Function	KERNEL32.DLL::CreateDirectoryA
EXTERNAL:0000003b	Function	KERNEL32.DLL::CreateEventA
EXTERNAL:0000003c	Function	KERNEL32.DLL::CreateFileA
EXTERNAL:0000003d	Function	KERNEL32.DLL::CreateMutexA
EXTERNAL:0000003e	Function	KERNEL32.DLL::CreateThread
EXTERNAL:0000003f	Function	KERNEL32.DLL::DeleteFileA
EXTERNAL:00000040	Function	KERNEL32.DLL::DosDateTimeToFileTime
EXTERNAL:00000041	Function	KERNEL32.DLL::ExitProcess
EXTERNAL:00000042	Function	KERNEL32.DLL::ExitThread
EXTERNAL:00000043	Function	KERNEL32.DLL::FileTimeToDosDateTime
EXTERNAL:00000044	Function	KERNEL32.DLL::FileTimeToLocalFileTime
